dataset,model,runtime,ari,purity,dbi,f_measure,n_clusters,fuzzyness,max_iterations,tolerance,random_state,strictness,min_obs,max_depth,metric,algorithm,n_neighbors,affinity,eigen_solver,assign_labels
hepatitis,fuzzy_cmeans,0.0030567646026611,0.14063721658367048,0.6903225806451613,1.899232610508129,0.655937846836848,2,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0029711723327636,0.16891865714996884,0.7096774193548387,2.0141044586771883,0.6695722203799328,2,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0032691955566406,0.1312294896331202,0.6838709677419355,1.8931675017997636,0.6503383822107638,2,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0021839141845703,0.16891865714996884,0.7096774193548387,2.0141044586771883,0.6695722203799328,2,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0018937587738037,0.1312294896331202,0.6838709677419355,1.8931675017997636,0.6503383822107638,2,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0028979778289794,0.10329772417148705,0.4838709677419355,2.3120928001712464,0.3896103896103896,3,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0041460990905761,0.10447761945640544,0.4838709677419355,2.5140984764831673,0.3924757796478325,3,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0029199123382568,0.05647984313443808,0.5096774193548387,2.0494649792404704,0.37952787952787953,3,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0060019493103027,0.0978427473031478,0.49032258064516127,2.5044298315548983,0.39319616659853746,3,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0024099349975585,0.08656264186525599,0.5161290322580645,2.1830962392211073,0.3798619680972622,3,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0057249069213867,0.07901056162503359,0.47096774193548385,2.4683817930076213,0.3782813355227148,3,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0028610229492187,0.06919542998770212,0.5032258064516129,2.23033337362551,0.3670841573280598,3,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0040171146392822,0.0861797813741972,0.4774193548387097,2.2717850595234546,0.38615216201423097,3,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0034449100494384,0.10423914352027004,0.47096774193548385,2.122989254037036,0.2723316536875859,4,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0037980079650878,0.0636463078943437,0.4064516129032258,2.1086817294552507,0.26839791598827745,4,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0039858818054199,0.08455225436361062,0.45161290322580644,5.127436403273939,0.2800802139037433,4,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0042638778686523,0.1187087761589742,0.45161290322580644,2.135155738535544,0.30417511832319133,4,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038387775421142,0.06948079691897707,0.4129032258064516,2.0053879649704243,0.26739713774597496,4,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.003965139389038,0.06513519318325307,0.3870967741935484,2.3838439417573825,0.2647357723577236,4,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0044169425964355,0.040777417276406464,0.41935483870967744,2.0492662999428397,0.27219950343216004,4,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.004667043685913,0.03862551266726249,0.3935483870967742,1.9971429445934539,0.2578289671785607,4,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038521289825439,0.08623142739058685,0.3870967741935484,1.9452898926969027,0.2136517328825021,5,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0053939819335937,0.0835222276048895,0.36774193548387096,2.0592865196626526,0.22039028275587413,5,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0041148662567138,0.12729629072995502,0.43870967741935485,2.169119300905159,0.23021223470661675,5,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038630962371826,0.0966395113815998,0.3548387096774194,2.0695439199995356,0.21587666820064424,5,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0040287971496582,0.055073136229609465,0.3741935483870968,2.0264650452056006,0.21208591190389514,5,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0038399696350097,0.06834127051458572,0.3870967741935484,2.929442682917345,0.2243527204502814,5,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0060591697692871,0.06678319808180486,0.3548387096774194,1.947268950273633,0.21305031446540879,5,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0043127536773681,0.047356132474568415,0.3548387096774194,2.052867734225998,0.20438580852201818,5,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0060958862304687,0.05490554836085345,0.3161290322580645,1.7398415387202573,0.1392107784061061,6,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0047662258148193,0.07917433745090853,0.3870967741935484,2.24414897248215,0.1854838709677419,6,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0036730766296386,0.057841917521111744,0.3096774193548387,2.8206468333690804,0.1683833407971339,6,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0081448554992675,0.03485693308682842,0.27741935483870966,2.988336425799766,0.13964770861322587,6,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.005213975906372,0.054385623457702176,0.3096774193548387,3.284814564665277,0.14559748427672956,6,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0052311420440673,0.05340436312550525,0.33548387096774196,2.178289936407198,0.15320092891060968,6,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0064771175384521,0.04955821803385838,0.2967741935483871,3.0958608097179376,0.13730372829771045,6,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0072951316833496,0.04091363137896289,0.2903225806451613,2.8017941192852853,0.15265436318067896,6,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0022289752960205,0.02282350950048203,0.2903225806451613,1.9152750124145546,0.12271662763466042,7,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0083601474761962,0.08648462759672959,0.36774193548387096,2.1296549609300226,0.13893557422969188,7,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0065259933471679,0.05677084606639025,0.2903225806451613,1.7554385039842206,0.11744505494505494,7,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0075879096984863,0.06954186516505836,0.3161290322580645,2.0912673109664657,0.14390040339407428,7,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0117170810699462,0.03610781101953502,0.25806451612903225,1.9302505851314193,0.11063372717508056,7,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0127007961273193,0.040353364908783294,0.2967741935483871,2.2376288349190196,0.1402267573696145,7,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0084578990936279,0.05862567414039625,0.2645161290322581,1.777341889397873,0.12412584081251547,7,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0083580017089843,0.045530365566496894,0.2838709677419355,2.4653092447522025,0.14027223349257248,7,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0044348239898681,0.05578686240718842,0.23870967741935484,2.4362962220504665,0.10194630872483221,8,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0071649551391601,0.07113896492181938,0.33548387096774196,2.8070276580720326,0.1356156501726122,8,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0044238567352294,0.04765601950866018,0.2838709677419355,1.6922944221767344,0.10969568294409059,8,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0106568336486816,0.026545692700338734,0.25806451612903225,1.868540979093265,0.09769736842105264,8,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0108850002288818,0.04664305830574101,0.25161290322580643,2.404637040655331,0.11223263638548425,8,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0064301490783691,0.04112655931668353,0.27741935483870966,2.2760181027259576,0.11742925948223962,8,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0095829963684082,0.048177019075249176,0.22580645161290322,2.6034353701572908,0.09325013789299504,8,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0073862075805664,0.024043946240464395,0.24516129032258063,2.157934841309661,0.10996503496503496,8,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0023090839385986,0.04665228232556422,0.2838709677419355,2.171778394004074,0.11293436293436294,9,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0073359012603759,0.01809723634514051,0.2064516129032258,2.1727777813807405,0.08441336441336442,9,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0054461956024169,0.08685787091264505,0.33548387096774196,1.8715861496740536,0.11594202898550725,9,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.007681131362915,0.039160253774305355,0.2709677419354839,1.9544554475478075,0.0988199384078707,9,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0070350170135498,0.018088304017601534,0.2,2.221458096129177,0.0784802043422733,9,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0079281330108642,0.043394112797876104,0.2645161290322581,2.095567667175088,0.09573099415204678,9,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0100753307342529,0.03471022437577465,0.23225806451612904,2.7272636209556347,0.08846346346346347,9,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0073528289794921,0.04158134521637912,0.2645161290322581,1.8667737913113163,0.09470471207042215,9,5,,,,,,,,,,,,
hepatitis,global_kmeans,0.4236948490142822,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.0001,1,,,,,,,,,
hepatitis,global_kmeans,0.4251949787139892,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.0001,2,,,,,,,,,
hepatitis,global_kmeans,0.4260339736938476,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.0001,3,,,,,,,,,
hepatitis,global_kmeans,0.4256899356842041,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.0001,4,,,,,,,,,
hepatitis,global_kmeans,0.4253089427947998,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.0001,5,,,,,,,,,
hepatitis,global_kmeans,0.4252030849456787,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.001,1,,,,,,,,,
hepatitis,global_kmeans,0.4242868423461914,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.001,2,,,,,,,,,
hepatitis,global_kmeans,0.4364550113677978,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.001,3,,,,,,,,,
hepatitis,global_kmeans,0.4304590225219726,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.001,4,,,,,,,,,
hepatitis,global_kmeans,0.4307389259338379,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,0.001,5,,,,,,,,,
hepatitis,global_kmeans,0.424318790435791,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,1e-05,1,,,,,,,,,
hepatitis,global_kmeans,0.423677921295166,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,1e-05,2,,,,,,,,,
hepatitis,global_kmeans,0.4225826263427734,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,1e-05,3,,,,,,,,,
hepatitis,global_kmeans,0.4260859489440918,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,1e-05,4,,,,,,,,,
hepatitis,global_kmeans,0.4248819351196289,0.09857171974060605,0.3935483870967742,1.6612104935291772,0.10965799614643545,10,,100,1e-05,5,,,,,,,,,
hepatitis,global_kmeans,0.0847160816192627,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.0001,1,,,,,,,,,
hepatitis,global_kmeans,0.0847439765930175,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.0001,2,,,,,,,,,
hepatitis,global_kmeans,0.084496259689331,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.0001,3,,,,,,,,,
hepatitis,global_kmeans,0.084317922592163,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.0001,4,,,,,,,,,
hepatitis,global_kmeans,0.0842897891998291,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.0001,5,,,,,,,,,
hepatitis,global_kmeans,0.0842700004577636,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.001,1,,,,,,,,,
hepatitis,global_kmeans,0.0841636657714843,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.001,2,,,,,,,,,
hepatitis,global_kmeans,0.084299087524414,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.001,3,,,,,,,,,
hepatitis,global_kmeans,0.0842120647430419,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.001,4,,,,,,,,,
hepatitis,global_kmeans,0.0843479633331298,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,0.001,5,,,,,,,,,
hepatitis,global_kmeans,0.0845279693603515,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,1e-05,1,,,,,,,,,
hepatitis,global_kmeans,0.0845410823822021,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,1e-05,2,,,,,,,,,
hepatitis,global_kmeans,0.0844950675964355,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,1e-05,3,,,,,,,,,
hepatitis,global_kmeans,0.0970458984375,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,1e-05,4,,,,,,,,,
hepatitis,global_kmeans,0.0845439434051513,0.09839867424847751,0.3741935483870968,1.5927645913431954,0.09176897721301294,11,,100,1e-05,5,,,,,,,,,
hepatitis,global_kmeans,0.0916178226470947,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.0001,1,,,,,,,,,
hepatitis,global_kmeans,0.0929749011993408,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.0001,2,,,,,,,,,
hepatitis,global_kmeans,0.0918798446655273,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.0001,3,,,,,,,,,
hepatitis,global_kmeans,0.0933730602264404,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.0001,4,,,,,,,,,
hepatitis,global_kmeans,0.0921478271484375,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.0001,5,,,,,,,,,
hepatitis,global_kmeans,0.0955157279968261,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.001,1,,,,,,,,,
hepatitis,global_kmeans,0.091991901397705,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.001,2,,,,,,,,,
hepatitis,global_kmeans,0.0918800830841064,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.001,3,,,,,,,,,
hepatitis,global_kmeans,0.0918419361114502,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.001,4,,,,,,,,,
hepatitis,global_kmeans,0.0913479328155517,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,0.001,5,,,,,,,,,
hepatitis,global_kmeans,0.0921580791473388,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,1e-05,1,,,,,,,,,
hepatitis,global_kmeans,0.0916481018066406,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,1e-05,2,,,,,,,,,
hepatitis,global_kmeans,0.0915791988372802,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,1e-05,3,,,,,,,,,
hepatitis,global_kmeans,0.0915050506591796,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,1e-05,4,,,,,,,,,
hepatitis,global_kmeans,0.0915069580078125,0.09311846419018478,0.3741935483870968,1.5571599302858952,0.08412156244526187,12,,100,1e-05,5,,,,,,,,,
hepatitis,global_kmeans,0.0626430511474609,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.0001,1,,,,,,,,,
hepatitis,global_kmeans,0.0623948574066162,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.0001,2,,,,,,,,,
hepatitis,global_kmeans,0.0624966621398925,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.0001,3,,,,,,,,,
hepatitis,global_kmeans,0.0621118545532226,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.0001,4,,,,,,,,,
hepatitis,global_kmeans,0.062852144241333,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.0001,5,,,,,,,,,
hepatitis,global_kmeans,0.0625350475311279,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.001,1,,,,,,,,,
hepatitis,global_kmeans,0.0628829002380371,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.001,2,,,,,,,,,
hepatitis,global_kmeans,0.0623159408569335,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.001,3,,,,,,,,,
hepatitis,global_kmeans,0.0623989105224609,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.001,4,,,,,,,,,
hepatitis,global_kmeans,0.0620601177215576,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,0.001,5,,,,,,,,,
hepatitis,global_kmeans,0.0634641647338867,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,1e-05,1,,,,,,,,,
hepatitis,global_kmeans,0.0630109310150146,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,1e-05,2,,,,,,,,,
hepatitis,global_kmeans,0.0629260540008544,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,1e-05,3,,,,,,,,,
hepatitis,global_kmeans,0.0635929107666015,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,1e-05,4,,,,,,,,,
hepatitis,global_kmeans,0.0626928806304931,0.2554799188992463,0.7612903225806451,1.9827068171727762,0.7122284108585478,2,,100,1e-05,5,,,,,,,,,
hepatitis,global_kmeans,0.1252901554107666,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.0001,1,,,,,,,,,
hepatitis,global_kmeans,0.1261582374572754,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.0001,2,,,,,,,,,
hepatitis,global_kmeans,0.1252980232238769,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.0001,3,,,,,,,,,
hepatitis,global_kmeans,0.1268610954284668,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.0001,4,,,,,,,,,
hepatitis,global_kmeans,0.125101089477539,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.0001,5,,,,,,,,,
hepatitis,global_kmeans,0.1256229877471923,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.001,1,,,,,,,,,
hepatitis,global_kmeans,0.1259429454803466,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.001,2,,,,,,,,,
hepatitis,global_kmeans,0.1254069805145263,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.001,3,,,,,,,,,
hepatitis,global_kmeans,0.1255178451538086,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.001,4,,,,,,,,,
hepatitis,global_kmeans,0.1258139610290527,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,0.001,5,,,,,,,,,
hepatitis,global_kmeans,0.125892162322998,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,1e-05,1,,,,,,,,,
hepatitis,global_kmeans,0.1252329349517822,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,1e-05,2,,,,,,,,,
hepatitis,global_kmeans,0.1256072521209716,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,1e-05,3,,,,,,,,,
hepatitis,global_kmeans,0.1254630088806152,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,1e-05,4,,,,,,,,,
hepatitis,global_kmeans,0.1255390644073486,0.21016964229221505,0.6709677419354839,2.1971240068803497,0.4715686274509803,3,,100,1e-05,5,,,,,,,,,
hepatitis,global_kmeans,0.2359669208526611,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.0001,1,,,,,,,,,
hepatitis,global_kmeans,0.2360708713531494,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.0001,2,,,,,,,,,
hepatitis,global_kmeans,0.236088752746582,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.0001,3,,,,,,,,,
hepatitis,global_kmeans,0.2372291088104248,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.0001,4,,,,,,,,,
hepatitis,global_kmeans,0.236616849899292,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.0001,5,,,,,,,,,
hepatitis,global_kmeans,0.2365028858184814,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.001,1,,,,,,,,,
hepatitis,global_kmeans,0.235908031463623,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.001,2,,,,,,,,,
hepatitis,global_kmeans,0.2654509544372558,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.001,3,,,,,,,,,
hepatitis,global_kmeans,0.2369501590728759,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.001,4,,,,,,,,,
hepatitis,global_kmeans,0.2370209693908691,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,0.001,5,,,,,,,,,
hepatitis,global_kmeans,0.2353482246398925,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,1e-05,1,,,,,,,,,
hepatitis,global_kmeans,0.2361388206481933,0.1349424874653973,0.4967741935483871,1.9725385178247223,0.26146182411013497,5,,100,1e-05,2,,,,,,,,,
